220kV I段电压_1,220kV I段电压_2,220kV I段电压_3,220kV I段电压_4,220kV大东线_9,220kV大东线_10,220kV大东线_11,220kV大东线_12
17.58460235595703,62.22051239013672,-79.88419342041016,-0.20411400496959686,0.08262699842453003,0.3082740008831024,-0.3834269940853119,0.013030000030994415
12.087072372436523,65.9441146850586,-78.09294891357422,-0.08636400103569031,0.06958000361919403,0.3082740008831024,-0.3877840042114258,-0.008709999732673168
6.482481002807617,69.603515625,-76.15733337402344,-0.06281399726867676,0.021740999072790146,0.3430100083351135,-0.3616420030593872,0.004333999939262867
0.6423580050468445,72.9526138305664,-73.6388931274414,0.015685999765992165,0.008693999610841274,0.33432599902153015,-0.3659990131855011,0.013030000030994415
-5.021115779876709,75.75601196289062,-70.6766586303711,0.10988599807024002,-0.017400000244379044,0.36906200647354126,-0.30500099062919617,-0.004362000152468681
-10.561470985412598,78.05651092529297,-67.31339263916016,0.18053600192070007,-0.03044700063765049,0.395114004611969,-0.3529280126094818,-1.4000000192027073e-05
-15.785999298095703,80.0360107421875,-63.971519470214844,0.4160360097885132,-0.03044700063765049,0.3864299952983856,-0.31371501088142395,-0.008709999732673168
-20.93023109436035,81.678466796875,-60.27139663696289,0.698635995388031,-0.06958799809217453,0.3994559943675995,-0.29628700017929077,-0.008709999732673168
-25.833580017089844,83.1069107055664,-56.785152435302734,0.7300360202789307,-0.10437999665737152,0.41248199343681335,-0.2788589894771576,-0.008709999732673168
-30.629867553710938,84.50326538085938,-53.31494903564453,0.9733859896659851,-0.12177599966526031,0.3994559943675995,-0.2745020091533661,0.004333999939262867
-35.394039154052734,85.268310546875,-49.25657653808594,0.9655359983444214,-0.1304740011692047,0.41248199343681335,-0.20914700627326965,-0.017405999824404716
-40.088619232177734,85.95311737060547,-45.251670837402344,0.847786009311676,-0.1696150004863739,0.41248199343681335,-0.20478999614715576,0.004333999939262867
-44.510196685791016,86.02266693115234,-40.96872329711914,0.8085359930992126,-0.1957090049982071,0.41682401299476624,-0.18300500512123108,-1.4000000192027073e-05
-48.66412353515625,85.5839614868164,-36.45050811767578,0.6279860138893127,-0.1957090049982071,0.44287601113319397,-0.1612199991941452,0.02172599919140339
-52.59857940673828,84.63701629638672,-31.766538619995117,0.4317359924316406,-0.24354800581932068,0.3864299952983856,-0.1612199991941452,-1.4000000192027073e-05
-56.13691329956055,83.06411743164062,-26.697582244873047,0.2354860007762909,-0.2652930021286011,0.395114004611969,-0.14379200339317322,-0.004362000152468681
-59.65383529663086,81.32001495361328,-21.52703285217285,0.11773599684238434,-0.2696419954299927,0.3864299952983856,-0.09586499631404877,-1.4000000192027073e-05
-63.20287322998047,79.38866424560547,-16.057052612304688,0.07848600298166275,-0.28268900513648987,0.3994559943675995,-0.08279400318861008,-0.021754000335931778
-66.78938293457031,77.61246490478516,-10.65123462677002,0.282586008310318,-0.30878299474716187,0.41682401299476624,-0.06972300261259079,0.004333999939262867
-70.279541015625,75.75601196289062,-5.240070819854736,0.35323598980903625,-0.30878299474716187,0.3864299952983856,-0.034866999834775925,-0.008709999732673168
-73.75898742675781,73.28431701660156,0.7004460096359253,0.31398600339889526,-0.35227298736572266,0.37774598598480225,-0.021795999258756638,0.004333999939262867
-76.76202392578125,70.3097152709961,6.534022808074951,0.07063599675893784,-0.35662201046943665,0.37774598598480225,0.0435589998960495,-0.008709999732673168
-79.03169250488281,66.9659652709961,12.04677963256836,-0.14916400611400604,-0.39141398668289185,0.33866798877716064,0.0392020009458065,-0.008709999732673168
-80.90524291992188,63.1353645324707,17.543495178222656,-0.37681400775909424,-0.41750800609588623,0.37340399622917175,0.07405800372362137,-0.01305800024420023
-82.50043487548828,59.524112701416016,22.644533157348633,-0.7065140008926392,-0.40880998969078064,0.3430100083351135,0.10019999742507935,-0.021754000335931778
-84.0099868774414,55.763065338134766,27.724184036254883,-0.839963972568512,-0.41750800609588623,0.347351998090744,0.09148599952459335,-0.008709999732673168
-85.07523345947266,52.0822639465332,32.59530258178711,-0.6594139933586121,-0.41315901279449463,0.2778800129890442,0.1394129991531372,0.004333999939262867
-85.7711181640625,47.94136428833008,37.47711181640625,-0.5024139881134033,-0.40446099638938904,0.2344599962234497,0.16119800508022308,0.004333999939262867
-86.19400787353516,43.688114166259766,42.182472229003906,-0.46316400170326233,-0.41750800609588623,0.2388020008802414,0.16119800508022308,-0.02610200084745884
-85.7657699584961,39.055015563964844,46.4012565612793,-0.3061639964580536,-0.41750800609588623,0.1953819990158081,0.20041100680828094,-0.008709999732673168
-85.02705383300781,34.52891540527344,50.24574661254883,-0.3140139877796173,-0.40880998969078064,0.20406599342823029,0.21348200738430023,-0.01305800024420023
-83.71021270751953,29.62296485900879,53.89775085449219,-0.28261399269104004,-0.41750800609588623,0.13025200366973877,0.2439810037612915,-0.01305800024420023
-82.16320037841797,24.66886329650879,57.314483642578125,-0.19626399874687195,-0.41315901279449463,0.13893599808216095,0.2744799852371216,-1.4000000192027073e-05
-80.45024108886719,19.308164596557617,60.84885025024414,-0.03141399845480919,-0.41315901279449463,0.09551600366830826,0.2788369953632355,-0.01305800024420023
-78.30903625488281,14.37546443939209,64.97138977050781,1.9703359603881836,-0.41315901279449463,0.10419999808073044,0.29190799593925476,-1.4000000192027073e-05
-76.97078704833984,8.303214073181152,68.00848388671875,-1.1775139570236206,-0.38706499338150024,0.05643799901008606,0.32676398754119873,-0.004362000152468681
-75.40235900878906,2.3379640579223633,70.47344970703125,-4.474514007568359,-0.38271600008010864,0.026043999940156937,0.3485490083694458,0.013030000030994415
-72.01390838623047,-2.7070860862731934,74.17891693115234,-0.8164139986038208,-0.37836700677871704,0.013017999939620495,0.3703339993953705,0.004333999939262867
-68.69505310058594,-7.6237359046936035,76.92727661132812,1.2167359590530396,-0.34357500076293945,-7.999999979801942e-06,0.39647600054740906,-1.4000000192027073e-05
-64.77665710449219,-12.37988567352295,79.94298553466797,5.243785858154297,-0.34357500076293945,-0.021717999130487442,0.39647600054740906,0.02172599919140339
-62.28215789794922,-19.003185272216797,80.93753051757812,-0.5024139881134033,-0.33487701416015625,-0.08250600099563599,0.40518999099731445,0.004333999939262867
-59.048946380615234,-24.722335815429688,81.81978607177734,-3.5325140953063965,-0.28268900513648987,-0.06948000192642212,0.40954700112342834,-0.004362000152468681
-54.37577438354492,-29.392885208129883,83.66449737548828,-0.08636400103569031,-0.29573601484298706,-0.09119000285863876,0.41390401124954224,-0.008709999732673168
-50.414554595947266,-34.12228775024414,84.6055679321289,0.21978600323200226,-0.2609440088272095,-0.10855799913406372,0.41390401124954224,0.02172599919140339
-46.731693267822266,-38.84098434448242,85.57872772216797,0.12558600306510925,-0.2087559998035431,-0.151978000998497,0.42261800169944763,0.02172599919140339
-44.38707733154297,-44.56013488769531,84.28475189208984,-8.046263694763184,-0.1652660071849823,-0.1563200056552887,0.41390401124954224,0.05216199904680252
0.0963520035147667,-22.705385208129883,-175.43507385253906,-257.4957275390625,-0.1739639937877655,-0.18671399354934692,3.076030969619751,2.6392219066619873
11.803362846374512,-20.00363540649414,157.8701629638672,256.9461975097656,-0.2652930021286011,-0.3560520112514496,1.8865699768066406,1.239166021347046
-70.23136138916016,-82.48628234863281,82.60578918457031,-114.82196044921875,0.026089999824762344,-0.0390859991312027,1.3985860347747803,1.4000420570373535
-43.45565414428711,-80.56563568115234,30.969812393188477,-167.28350830078125,0.1913519948720932,0.09551600366830826,1.5336530208587646,1.7870140075683594
-25.13233757019043,-75.91648864746094,-26.574600219726562,-228.41146850585938,0.39575499296188354,0.20406599342823029,2.030350923538208,2.556610107421875
34.23778533935547,-23.684436798095703,-21.671401977539062,-17.59186363220215,0.252238005399704,0.026043999940156937,2.1915600299835205,2.48704195022583
7.986673831939697,-48.15533447265625,50.9301643371582,24.617586135864258,0.13046599924564362,-0.08684799820184708,2.426837921142578,2.456605911254883
-26.748943328857422,-83.70608520507812,51.956787109375,-102.26981353759766,0.24788899719715118,-0.004350000061094761,2.5488340854644775,2.80444598197937
-14.099803924560547,-90.62898254394531,41.64777374267578,-112.05876159667969,0.41749998927116394,0.10854200273752213,2.6359739303588867,3.1740260124206543
52.52363586425781,-50.41838455200195,-28.20543670654297,-45.37301254272461,0.42619800567626953,0.09117399901151657,2.723114013671875,3.2218539714813232
-24.9556884765625,-115.72583770751953,-16.153297424316406,-257.4800109863281,0.6262519955635071,0.3039320111274719,2.8538239002227783,3.795789957046509
38.61118698120117,-65.71403503417969,53.06896209716797,40.25478744506836,0.5871109962463379,0.25182801485061646,3.036818027496338,3.847965955734253
36.59845733642578,-64.77778625488281,45.08054733276367,27.05108642578125,0.5697150230407715,0.17801399528980255,3.062959909439087,3.821877956390381
70.6328353881836,-50.56818771362305,61.8968620300293,152.14083862304688,0.6306009888648987,0.17801399528980255,3.137028932571411,4.0088419914245605
23.8690242767334,-105.48058319091797,-4.844392776489258,-147.97251892089844,0.6479970216751099,0.1953819990158081,3.424591064453125,4.291461944580078
3.2064449787139893,-126.31883239746094,16.29229736328125,-191.6813201904297,0.7523729801177979,0.2691960036754608,3.498660087585449,4.500165939331055
38.29536056518555,-96.283935546875,20.54850959777832,-69.65306091308594,0.9567760229110718,0.347351998090744,3.411520004272461,4.678433895111084
79.40104675292969,-57.44828414916992,26.724294662475586,86.16943359375,0.9524270296096802,0.3430100083351135,3.389734983444214,4.652346134185791
