220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV凤丽Ⅱ回线_A相_9,220kV凤丽Ⅱ回线_B相_10,220kV凤丽Ⅱ回线_C相_11,220kV凤丽Ⅱ回线_3I0_12
42.049442291259766,43.312286376953125,-86.11376953125,-0.9339354634284973,-0.6494504809379578,0.287501722574234,0.3895241320133209,0.0
21.009035110473633,61.54958724975586,-82.8084945678711,-0.09339354187250137,-0.5937833189964294,0.10201673954725266,0.5008167624473572,0.00928158313035965
-0.6692773699760437,74.94438934326172,-74.5868911743164,-0.18678708374500275,-0.5381161570549011,-0.055645495653152466,0.5935605764389038,0.00928158313035965
-22.19072723388672,83.28886413574219,-60.856502532958984,0.731582760810852,-0.45461535453796387,-0.2040334790945053,0.6770300269126892,0.0371263325214386
-43.13701629638672,86.06343078613281,-42.57356643676758,0.7160171866416931,-0.3154473900794983,-0.35242146253585815,0.6770300269126892,0.00928158313035965
-61.52123260498047,82.92515563964844,-21.442691802978516,-0.031131181865930557,-0.120612233877182,-0.4637124538421631,0.612109363079071,0.0371263325214386
-75.1368408203125,74.7469482421875,0.36378780007362366,0.0,0.05566718801856041,-0.5564549565315247,0.5564630627632141,0.0185631662607193
-83.5341796875,61.071571350097656,21.96238899230957,-0.8249763250350952,0.20411302149295807,-0.6306489109992981,0.4729935824871063,0.02784474939107895
-86.06488800048828,42.418609619140625,43.13483810424805,-0.8249763250350952,0.34328097105026245,-0.6491974592208862,0.32460343837738037,0.04640791565179825
-82.71849822998047,21.334003448486328,61.28265380859375,-0.062262363731861115,0.491726815700531,-0.5935519337654114,0.12056699395179749,0.0371263325214386
-74.43619537353516,-0.5611476898193359,74.89871215820312,-0.09339354187250137,0.5752276182174683,-0.5286321640014648,-0.04637191817164421,0.0
-60.653263092041016,-22.25885772705078,83.47370910644531,1.0117634534835815,0.6401726603507996,-0.4080669581890106,-0.20403644442558289,0.02784474939107895
-42.22721862792969,-43.12523651123047,85.86431121826172,0.9650666117668152,0.6865619421005249,-0.26895323395729065,-0.36170098185539246,0.0185631662607193
-21.113609313964844,-61.570369720458984,82.71495056152344,0.04669677093625069,0.6216168999671936,-0.09274248778820038,-0.48226797580718994,0.0
0.5542452931404114,-75.10026550292969,74.70122528076172,0.34244298934936523,0.5381161570549011,0.09274248778820038,-0.5471886396408081,0.02784474939107895
21.918834686279297,-83.45513153076172,61.10595703125,-0.5603612661361694,0.46389323472976685,0.23185622692108154,-0.6306580901145935,0.0185631662607193
43.09518814086914,-86.24008178710938,42.646324157714844,-0.7160171866416931,0.3247252404689789,0.3709699511528015,-0.658481240272522,0.00928158313035965
61.50031661987305,-83.03946685791016,21.51544952392578,0.07782795280218124,0.14844582974910736,0.5008094310760498,-0.602834939956665,0.00928158313035965
74.93814849853516,-74.87165069580078,-0.12472724169492722,0.0,-0.027833594009280205,0.6028261780738831,-0.5100911259651184,0.0
83.52372741699219,-61.289794921875,-21.69214630126953,0.9028042554855347,-0.17627942562103271,0.6584717035293579,-0.426621675491333,0.0
86.10671997070312,-42.8134880065918,-42.78144454956055,0.8716731071472168,-0.33400312066078186,0.6677459478378296,-0.2875058948993683,0.00928158313035965
82.76033020019531,-21.4067440032959,-61.261863708496094,0.04669677093625069,-0.46389323472976685,0.6121004223823547,-0.10201822221279144,0.0
74.49893951416016,0.6131057739257812,-75.06501007080078,0.17122149467468262,-0.5659497380256653,0.547180712223053,0.07419507205486298,-0.00928158313035965
60.79966735839844,22.030242919921875,-83.42173767089844,-0.9028042554855347,-0.6123390793800354,0.4544382095336914,0.22258521616458893,0.00928158313035965
42.38408279418945,43.00053787231445,-86.09297943115234,-0.9183698892593384,-0.6494504809379578,0.287501722574234,0.3709753453731537,0.00928158313035965
21.280929565429688,61.424888610839844,-82.97480010986328,-0.015565590932965279,-0.5937833189964294,0.10201673954725266,0.5100911259651184,0.02784474939107895
-0.33463868498802185,74.76773071289062,-74.74280548095703,-0.23348386585712433,-0.5288382768630981,-0.04637124389410019,0.5935605764389038,0.00928158313035965
-21.897918701171875,83.20573425292969,-61.04359436035156,0.6381892561912537,-0.4360596239566803,-0.213307723402977,0.667755663394928,0.00928158313035965
-42.88603973388672,86.0322494506836,-42.83341598510742,0.731582760810852,-0.3154473900794983,-0.3431472182273865,0.6863043904304504,0.0185631662607193
-61.24933624267578,83.03946685791016,-21.81687355041504,-0.062262363731861115,-0.120612233877182,-0.4544382095336914,0.612109363079071,0.00928158313035965
-74.99044036865234,74.8924331665039,-0.01039393711835146,-0.09339354187250137,0.046389322727918625,-0.5657292008399963,0.5657374262809753,0.00928158313035965
-83.40869140625,61.30018997192383,21.629783630371094,-0.7938451170921326,0.19483515620231628,-0.6399231553077698,0.4729935824871063,0.02784474939107895
-86.02305603027344,42.77192306518555,42.760658264160156,-0.7782795429229736,0.361836701631546,-0.6491974592208862,0.31532904505729675,0.02784474939107895
-82.84398651123047,21.635360717773438,61.12674331665039,-0.07782795280218124,0.491726815700531,-0.5935519337654114,0.1298413723707199,0.02784474939107895
-74.60350799560547,-0.27018222212791443,74.78437805175781,-0.07782795280218124,0.5752276182174683,-0.5193579196929932,-0.04637191817164421,0.02784474939107895
-60.872867584228516,-22.01984977722168,83.45291900634766,0.9961978197097778,0.6308947801589966,-0.426615446805954,-0.20403644442558289,0.02784474939107895
-42.42591094970703,-42.927799224853516,85.89549255371094,0.9495010375976562,0.6680062413215637,-0.287501722574234,-0.35242658853530884,0.0185631662607193
-21.4482479095459,-61.25862121582031,82.75653076171875,0.09339354187250137,0.6216168999671936,-0.0834682434797287,-0.4637191891670227,0.00928158313035965
0.2509790062904358,-74.93399810791016,74.8675308227539,0.311311811208725,0.5381161570549011,0.06491973996162415,-0.5564630627632141,0.0185631662607193
21.678312301635742,-83.4031753540039,61.30344009399414,-0.5914924740791321,0.46389323472976685,0.213307723402977,-0.6399325132369995,0.00928158313035965
42.750091552734375,-86.25047302246094,42.9581413269043,-0.731582760810852,0.34328097105026245,0.3802441954612732,-0.6306580901145935,0.00928158313035965
61.291168212890625,-83.13298797607422,21.81687355041504,0.062262363731861115,0.15772369503974915,0.5008094310760498,-0.602834939956665,0.0185631662607193
74.78128814697266,-75.05870056152344,0.2078787386417389,-0.062262363731861115,-0.01855572871863842,0.5842776894569397,-0.5100911259651184,0.00928158313035965
83.4400634765625,-61.58076095581055,-21.33875274658203,0.8716731071472168,-0.15772369503974915,0.6491974592208862,-0.426621675491333,0.0
86.15900421142578,-43.010929107666016,-42.59435272216797,0.8405418992042542,-0.34328097105026245,0.6677459478378296,-0.27823153138160706,-0.00928158313035965
82.76033020019531,-21.645751953125,-61.022804260253906,0.031131181865930557,-0.45461535453796387,0.6306489109992981,-0.10201822221279144,0.0
74.6348876953125,0.28057384490966797,-74.83634948730469,0.1556559056043625,-0.5473939776420593,0.547180712223053,0.083469457924366,0.02784474939107895
61.04018783569336,21.739276885986328,-83.39055633544922,-0.8872386813163757,-0.6216168999671936,0.4544382095336914,0.23185959458351135,0.00928158313035965
42.66643142700195,42.657615661621094,-86.04100799560547,-0.9806322455406189,-0.6494504809379578,0.287501722574234,0.3709753453731537,-0.00928158313035965
21.584196090698242,61.2066650390625,-83.01637268066406,-0.062262363731861115,-0.6123390793800354,0.11129099130630493,0.5008167624473572,0.00928158313035965
-0.08365967124700546,74.67420959472656,-74.92989349365234,-0.24904945492744446,-0.5288382768630981,-0.055645495653152466,0.5842862129211426,0.02784474939107895
-21.53190803527832,83.09142303466797,-61.3242301940918,0.731582760810852,-0.4453375041484833,-0.2040334790945053,0.658481240272522,0.02784474939107895
-42.66643142700195,86.08421325683594,-43.07247543334961,0.7627139687538147,-0.3154473900794983,-0.36169570684432983,0.6770300269126892,0.0185631662607193
-61.10293197631836,83.1122055053711,-22.076723098754883,0.0,-0.1298900991678238,-0.4637124538421631,0.6213837265968323,0.0185631662607193
-74.791748046875,75.07948303222656,-0.2806363105773926,0.031131181865930557,0.03711145743727684,-0.5657292008399963,0.5471886396408081,0.0
-83.30411529541016,61.424888610839844,21.36993408203125,-0.8249763250350952,0.19483515620231628,-0.6306489109992981,0.48226797580718994,0.0185631662607193
-87.76945495605469,39.65443420410156,31.285751342773438,-34.13534164428711,0.33400312066078186,-0.6770201921463013,1.3447856903076172,-1.0209741592407227
-84.64266967773438,20.367582321166992,39.185142517089844,-43.9416618347168,0.11133437603712082,-0.9737961292266846,4.108551979064941,-3.1743013858795166
-74.18521118164062,0.27018222212791443,53.31050491333008,-33.917423248291016,-0.5102825164794922,-1.5951708555221558,7.3082146644592285,-5.0955891609191895
-58.3421630859375,-20.315624237060547,60.378379821777344,-31.987289428710938,-0.7607848644256592,-1.7157360315322876,10.591346740722656,-8.000724792480469
-42.028526306152344,-41.16122055053711,58.36195755004883,-43.05442428588867,-1.400957465171814,-2.3463850021362305,14.217630386352539,-10.358246803283691
-21.835174560546875,-59.668704986572266,60.191287994384766,-37.092803955078125,-1.8834065198898315,-2.8193717002868652,17.714073181152344,-12.845710754394531
