220kV I段电压_A相_1,220kV I段电压_B相_2,220kV I段电压_C相_3,220kV I段电压_3U0_4,砚马 II线_A相_25,砚马 II线_B相_26,砚马 II线_C相_27,砚马 II线_3I0_28
-65.09159851074219,78.07460021972656,-13.295210838317871,-0.4515644311904907,0.20346882939338684,-0.2670249044895172,0.061028048396110535,0.0
-77.18586730957031,68.36077117919922,8.648643493652344,-0.15571187436580658,0.24530355632305145,-0.23650777339935303,-0.007628506049513817,-0.0076135010458528996
-83.9072265625,54.44525146484375,29.022851943969727,-0.5138491988182068,0.2605161666870117,-0.18882474303245544,-0.08200643956661224,-0.009516876190900803
-84.13719177246094,35.49601745605469,48.05610656738281,-0.7007034420967102,0.26812249422073364,-0.12779048085212708,-0.14494161307811737,-0.011420251801609993
-78.78519439697266,13.145902633666992,64.99996185302734,-0.7785593867301941,0.24910670518875122,-0.05912694334983826,-0.20215541124343872,-0.015227002091705799
-68.58294677734375,-9.110610008239746,77.43238830566406,-0.14014068245887756,0.2186814546585083,0.015258565545082092,-0.24220506846904755,-0.015227002091705799
-54.19944763183594,-29.474279403686523,83.88768768310547,0.8097017407417297,0.16733884811401367,0.0820147916674614,-0.26699772477149963,-0.019033752381801605
-35.206119537353516,-48.23630905151367,83.69017791748047,0.9498424530029297,0.1083899438381195,0.15449297428131104,-0.28225472569465637,-0.019033752381801605
-13.453169822692871,-65.33430480957031,78.44070434570312,-0.031142374500632286,0.04563786834478378,0.20217598974704742,-0.26509058475494385,-0.015227002091705799
8.540202140808105,-78.29299926757812,68.81492614746094,-1.0744118690490723,-0.02281893417239189,0.24222972989082336,-0.23648369312286377,-0.013323627412319183
29.310558319091797,-84.79315185546875,54.68811798095703,-0.8097017407417297,-0.09317731857299805,0.2670249044895172,-0.1849912703037262,-0.013323627412319183
48.43977355957031,-84.22113800048828,35.54051971435547,0.031142374500632286,-0.1521262377500534,0.280376136302948,-0.12968459725379944,-0.0057101259008049965
65.10205078125,-78.24099731445312,13.180865287780762,0.40485087037086487,-0.19966568052768707,0.263210266828537,-0.06293517351150513,0.0
77.34265899658203,-68.41277313232422,-8.929308891296387,0.23356780409812927,-0.23769724369049072,0.23841509222984314,0.007628506049513817,0.0076135010458528996
83.94903564453125,-54.50765609741211,-29.10601234436035,0.7318457961082458,-0.25481143593788147,0.18501010537147522,0.07819218933582306,0.0057101259008049965
84.01175689697266,-35.714420318603516,-47.90018081665039,0.7474169731140137,-0.2624177634716034,0.12969781458377838,0.14684873819351196,0.011420251801609993
78.6179428100586,-13.32270622253418,-64.97917175292969,0.7007034420967102,-0.24530355632305145,0.05912694334983826,0.19834116101264954,0.013323627412319183
68.53067779541016,9.048208236694336,-77.53633880615234,0.18685424327850342,-0.21487830579280853,-0.01144392415881157,0.24411219358444214,0.017130376771092415
54.27261734008789,29.43267822265625,-84.18914031982422,-0.6851322650909424,-0.16543728113174438,-0.08582942932844162,0.26890483498573303,0.019033752381801605
35.43608856201172,48.12190628051758,-84.157958984375,-0.8097017407417297,-0.10648836195468903,-0.15258565545082092,0.2765333354473114,0.019033752381801605
13.672685623168945,65.1886978149414,-78.88768768310547,0.046713560819625854,-0.0437362901866436,-0.20217598974704742,0.26509058475494385,0.013323627412319183
-8.49838924407959,78.10579681396484,-69.05401611328125,1.136696696281433,0.02852366864681244,-0.2460443675518036,0.23457655310630798,0.009516876190900803
-29.394184112548828,84.57474517822266,-54.68811798095703,0.9654136300086975,0.0988820493221283,-0.2670249044895172,0.1868983954191208,0.0057101259008049965
-48.48158645629883,83.9715347290039,-35.561309814453125,-0.031142374500632286,0.15592938661575317,-0.2784688174724579,0.13349886238574982,0.0019033752614632249
-64.9661636352539,78.03299713134766,-13.409555435180664,-0.40485087037086487,0.20346882939338684,-0.2651175856590271,0.06484229862689972,0.0019033752614632249
-77.14405059814453,68.39197540283203,8.544693946838379,-0.20242543518543243,0.24340197443962097,-0.23841509222984314,-0.005721379537135363,-0.0076135010458528996
-83.9072265625,54.590858459472656,28.866928100585938,-0.6072763204574585,0.25861459970474243,-0.18501010537147522,-0.08009931445121765,-0.009516876190900803
-84.07447052001953,35.82882308959961,48.035316467285156,-0.10899831354618073,0.2643193304538727,-0.1335124522447586,-0.15638437867164612,-0.028550628572702408
-63.56544494628906,14.1027250289917,64.89601135253906,26.79801368713379,-0.8956431746482849,-0.0667562261223793,-0.19643403589725494,-1.166769027709961
-46.7254638671875,-9.339414596557617,77.44277954101562,37.54213333129883,-1.9909520149230957,0.05149766057729721,-0.2307623028755188,-2.183171510696411
-35.57197952270508,-31.356721878051758,81.6943359375,26.003883361816406,-2.7972211837768555,0.12588316202163696,-0.22504092752933502,-2.9102609157562256
-27.826215744018555,-51.47078323364258,80.70681762695312,2.662672996520996,-3.284024953842163,0.22506384551525116,-0.21550528705120087,-3.2795157432556152
-16.599559783935547,-66.25992584228516,77.00619506835938,-9.700849533081055,-3.4342496395111084,0.2517663240432739,-0.21741242706775665,-3.397524833679199
2.4251246452331543,-76.93057250976562,70.25983428955078,-6.77346658706665,-3.2631077766418457,0.30326399207115173,-0.19452689588069916,-3.144376039505005
21.679779052734375,-83.11871337890625,56.4240837097168,-8.26830005645752,-2.72305965423584,0.3128005862236023,-0.137313112616539,-2.5333924293518066
35.60334014892578,-84.12753295898438,35.41577911376953,-22.31351089477539,-1.8730542659759521,0.3147079050540924,-0.08963494747877121,-1.621675729751587
44.53030776977539,-78.42820739746094,13.295210838317871,-35.346595764160156,-0.8100721836090088,0.27465417981147766,-0.04386391118168831,-0.5519788265228271
54.27261734008789,-67.06074523925781,-6.6424078941345215,-33.29119873046875,0.36510294675827026,0.22697116434574127,0.0038142530247569084,0.6147902011871338
62.49922561645508,-51.553985595703125,-25.89395523071289,-25.67688751220703,1.5859159231185913,0.16021494567394257,0.0686565563082695,1.8310470581054688
65.26930236816406,-33.12476348876953,-45.86275863647461,-23.652633666992188,2.825744867324829,0.07247819006443024,0.1144275888800621,3.022559881210327
60.88944625854492,-13.125102043151855,-64.79206085205078,-29.336116790771484,3.9800026416778564,-0.01335124485194683,0.14494161307811737,4.124614238739014
51.952022552490234,8.538596153259277,-76.99579620361328,-28.432987213134766,4.951708793640137,-0.10490263998508453,0.16973425447940826,5.021103858947754
41.83340072631836,30.63910484313965,-81.99579620361328,-16.240747451782227,5.678111553192139,-0.19454671442508698,0.17545564472675323,5.654928207397461
29.57188606262207,50.40996170043945,-81.46565246582031,-2.3356781005859375,6.094557285308838,-0.2689322233200073,0.16782712936401367,5.991825580596924
14.540294647216797,65.5527114868164,-78.06648254394531,3.7837984561920166,6.1668171882629395,-0.3128005862236023,0.14684873819351196,5.995632171630859
-2.602827787399292,76.42095947265625,-70.09351348876953,6.633325576782227,5.885383605957031,-0.3433177173137665,0.12205609679222107,5.651121139526367
-19.33827781677246,83.46192169189453,-55.249446868896484,15.60232925415039,5.2559614181518555,-0.3490396738052368,0.08009931445121765,4.965906143188477
-33.98310470581055,84.79315185546875,-34.57378387451172,28.27727699279785,4.318483352661133,-0.35285434126853943,0.040049657225608826,3.9856679439544678
-46.056461334228516,79.63463592529297,-13.149680137634277,35.5023078918457,3.137603521347046,-0.3166152238845825,-0.007628506049513817,2.7827346324920654
-55.34928894042969,68.07996368408203,6.372137546539307,33.19777297973633,1.7988927364349365,-0.2613029479980469,-0.05912092328071594,1.448468565940857
-61.30757141113281,52.31320571899414,26.351335525512695,30.17696189880371,0.3955281972885132,-0.18691742420196533,-0.10107770562171936,0.060908008366823196
-63.0009765625,34.15438461303711,46.71514892578125,31.095661163330078,-0.9717063307762146,-0.10490263998508453,-0.14494161307811737,-1.2676479816436768
-60.19953918457031,13.676314353942871,64.8336410522461,31.920934677124023,-2.226747751235962,-0.007629282772541046,-0.17545564472675323,-2.44012713432312
-52.95552444458008,-8.4241943359375,76.54881286621094,26.439876556396484,-3.2935328483581543,0.08582942932844162,-0.19643403589725494,-3.4336891174316406
-42.50239944458008,-30.233495712280273,81.71512603759766,15.804755210876465,-4.113112926483154,0.1640295833349228,-0.19643403589725494,-4.156971454620361
-28.98651123046875,-49.29713439941406,82.2244873046875,7.1938886642456055,-4.607523441314697,0.24222972989082336,-0.19452689588069916,-4.570003986358643
-13.557701110839844,-64.88709259033203,78.71097564697266,0.9342712163925171,-4.746338367462158,0.2994493544101715,-0.17164137959480286,-4.629008769989014
2.6550934314727783,-76.93057250976562,69.94798278808594,-6.960320949554443,-4.5352630615234375,0.3433177173137665,-0.1392202377319336,-4.33779239654541
18.355684280395508,-84.12753295898438,55.34300231933594,-17.548728942871094,-3.968593120574951,0.3509470224380493,-0.0915420725941658,-3.7134852409362793
32.95869827270508,-84.10673522949219,35.71723556518555,-26.33087730407715,-3.1147847175598145,0.34141039848327637,-0.049585290253162384,-2.8131887912750244
46.077369689941406,-77.94979095458984,14.20997142791748,-30.223674774169922,-1.9966567754745483,0.3108932673931122,0.0038142530247569084,-1.6692601442337036
55.809226989746094,-67.237548828125,-6.548852920532227,-30.862092971801758,-0.71879643201828,0.25748828053474426,0.05339954048395157,-0.38257843255996704
61.74660110473633,-53.082820892333984,-27.07898712158203,-31.687366485595703,0.6351270079612732,0.17928814888000488,0.09917058050632477,0.9326539039611816
63.13686752319336,-35.14241027832031,-46.78791427612305,-32.38806915283203,1.9491173028945923,0.09155139327049255,0.137313112616539,2.1983985900878906
